sequence_id,display_name,mode,trigger,repeat_rule,priority,random_weight,customer_id,min_day,max_day,min_customer_health,max_customer_health,min_customer_delight,max_customer_delight,required_recipe_id,required_recipe_tiers,min_served_meal_delight,max_served_meal_delight,required_flags,forbidden_flags,set_flags,clear_flags,approval_status,review_notes,recipe_build_condition,meal_health_condition
D_JUNE_INTRO,June introduces themselves,Mandatory,BeforeService,Once,150,1,U001,1,-1,,,,,,,,,,june_introduction_complete,june_introduction_complete,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_JUNE_AFTER_HIGH,June reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U001,1,-1,,,,,,,8,20,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_JUNE_AFTER_OKAY,June reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U001,1,-1,,,,,,,0,7,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_JUNE_AFTER_POOR,June reacts to the meal,Mandatory,AfterService,OncePerDay,200,1,U001,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Failed,
D_JUNE_AFTER_FANCY,June reacts to the meal,Mandatory,AfterService,OncePerDay,110,1,U001,1,-1,,,,,,Premium|Luxury,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_DEV_INTRO,Dev introduces themselves,Mandatory,BeforeService,Once,150,1,U002,1,-1,,,,,,,,,,dev_introduction_complete,dev_introduction_complete,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_DEV_AFTER_HIGH,Dev reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U002,1,-1,,,,,,,8,20,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_DEV_AFTER_OKAY,Dev reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U002,1,-1,,,,,,,0,7,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_DEV_AFTER_POOR,Dev reacts to the meal,Mandatory,AfterService,OncePerDay,200,1,U002,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Failed,
D_DEV_AFTER_FANCY,Dev reacts to the meal,Mandatory,AfterService,OncePerDay,110,1,U002,1,-1,,,,,,Premium|Luxury,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_ROSA_INTRO,Rosa introduces themselves,Mandatory,BeforeService,Once,150,1,U003,1,-1,,,,,,,,,,rosa_introduction_complete,rosa_introduction_complete,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_ROSA_AFTER_HIGH,Rosa reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U003,1,-1,,,,,,,8,20,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_ROSA_AFTER_OKAY,Rosa reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U003,1,-1,,,,,,,0,7,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_ROSA_AFTER_POOR,Rosa reacts to the meal,Mandatory,AfterService,OncePerDay,200,1,U003,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Failed,
D_ROSA_AFTER_FANCY,Rosa reacts to the meal,Mandatory,AfterService,OncePerDay,110,1,U003,1,-1,,,,,,Premium|Luxury,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_SAM_INTRO,Sam introduces themselves,Mandatory,BeforeService,Once,150,1,U004,1,-1,,,,,,,,,,sam_introduction_complete,sam_introduction_complete,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_SAM_AFTER_HIGH,Sam reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U004,1,-1,,,,,,,8,20,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_SAM_AFTER_OKAY,Sam reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U004,1,-1,,,,,,,0,7,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_SAM_AFTER_POOR,Sam reacts to the meal,Mandatory,AfterService,OncePerDay,200,1,U004,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Failed,
D_SAM_AFTER_FANCY,Sam reacts to the meal,Mandatory,AfterService,OncePerDay,110,1,U004,1,-1,,,,,,Premium|Luxury,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_CHEF_OKINAWA_ARRIVAL,D CHEF OKINAWA ARRIVAL,Mandatory,ServiceEncounter,Once,1000,1,,3,-1,,,,,,,,,,okinawa_chef_arrived,okinawa_chef_arrived,,Pending,Day 3 after Market: priority story encounter independent of customer attendance; once only.,Any,
D_DEV_ARRIVAL_BASIC,Dev arrives,Ambient,CustomerArrival,Repeatable,0,1,U002,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_DEV_AFTER_BASIC,Dev reacts to the meal,Ambient,AfterService,Repeatable,0,1,U002,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
