listing_id,food_id,store_id,shelf_id,unlock_day,required_flag,observed_price_cad,servings_per_package,game_price,price_source,price_display_style,approval_status,review_notes
L001,P004,S001,PRODUCE,1,,,4,6.4,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L002,P011,S001,WELLNESS,1,,,4,11.2,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L003,P012,S001,WELLNESS,1,,,8,9.6,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L004,P001,S002,BOTTOM_SHELF,1,,,8,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L005,P002,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L006,P003,S002,BACK_FREEZER,1,,,6,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities. Discovery/membership flag deferred for playable greybox.
L007,P004,S002,BACK_FREEZER,1,,,4,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities. Discovery/membership flag deferred for playable greybox.
L008,P013,S002,BARGAIN_BIN,1,,,4,4,Synthetic greybox game tuning; retail price not surveyed,Sale,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L009,P014,S002,BARGAIN_BIN,1,,,4,2,Synthetic greybox game tuning; retail price not surveyed,Sale,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L010,P001,S003,BULK_SACKS,4,,,24,8,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities. Discovery/membership flag deferred for playable greybox.
L011,P017,S003,BULK_SACKS,4,,,36,10,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities. Discovery/membership flag deferred for playable greybox.
L012,P005,S003,BULK_SACKS,4,,,30,10,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities. Discovery/membership flag deferred for playable greybox.
L013,P005,S002,BOTTOM_SHELF,1,,,10,5,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L014,P006,S002,BOTTOM_SHELF,1,,,8,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L015,P007,S002,BOTTOM_SHELF,1,,,8,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
