sequence_id,line_order,speaker_id,text_template,claim_id,portrait_path,emotion,voice_over_path
D_JUNE_INTRO,0,U001,I used to choose chicken because the label sounded reassuring. Now I want to pay closer attention to what is actually in a meal.,,,Neutral,
D_JUNE_INTRO,1,U001,Could we start with something simple? I would rather build a routine than chase an expensive promise.,,,Neutral,
D_JUNE_AFTER_HIGH,0,U001,I enjoyed that {servedRecipe}. There was enough variety without making it complicated.,,,Happy,
D_JUNE_AFTER_HIGH,1,U001,That is the sort of meal I would look forward to coming back for.,,,Happy,
D_JUNE_AFTER_OKAY,0,U001,Thank you for the {servedRecipe}. A dependable meal is welcome.,,,Neutral,
D_JUNE_AFTER_OKAY,1,U001,Not every lunch needs to feel like a special occasion.,,,Neutral,
D_JUNE_AFTER_POOR,0,U001,This does not seem to be the meal we planned.,,,Disappointed,
D_JUNE_AFTER_POOR,1,U001,I would rather you tell me what is missing. It is harder to trust the menu when the dish changes this much.,,,Disappointed,
D_JUNE_AFTER_FANCY,0,U001,That {servedRecipe} felt carefully put together.,,,Pleased,
D_JUNE_AFTER_FANCY,1,U001,"I enjoyed the welcome, but please keep the affordable bowls too. A higher price is not a promise about my health.",,,Pleased,
D_DEV_INTRO,0,U002,I usually plan lunch around meat or eggs after the gym. That is the habit I know.,,,Neutral,
D_DEV_INTRO,1,U002,I am willing to try a bean or tofu bowl. Make it a meal I can picture ordering again.,,,Neutral,
D_DEV_AFTER_HIGH,0,U002,That {servedRecipe} had a combination I would order again.,,,Happy,
D_DEV_AFTER_HIGH,1,U002,"I like a meal that feels planned, not just a collection of whatever was left.",,,Happy,
D_DEV_AFTER_OKAY,0,U002,The {servedRecipe} works for me.,,,Neutral,
D_DEV_AFTER_OKAY,1,U002,Keep that one in the rotation. Reliable beats flashy on a busy day.,,,Neutral,
D_DEV_AFTER_POOR,0,U002,"Hold on, that is not the dish I picked.",,,Disappointed,
D_DEV_AFTER_POOR,1,U002,A bigger pile does not fix the missing ingredients. Please check the recipe next time.,,,Disappointed,
D_DEV_AFTER_FANCY,0,U002,Nice presentation on the {servedRecipe}.,,,Pleased,
D_DEV_AFTER_FANCY,1,U002,I still want a regular-budget option for the days I come straight from the gym.,,,Pleased,
D_ROSA_INTRO,0,U003,At home I reach for olive oil before I have even decided what to cook. It is an old habit.,,,Neutral,
D_ROSA_INTRO,1,U003,I am curious about your oil-free meals. I want ideas I can actually use in my own kitchen.,,,Neutral,
D_ROSA_AFTER_HIGH,0,U003,I enjoyed that {servedRecipe}. The combination gives me an idea for dinner at home.,,,Happy,
D_ROSA_AFTER_HIGH,1,U003,I would come back to try that again.,,,Happy,
D_ROSA_AFTER_OKAY,0,U003,"Thank you. The {servedRecipe} is a useful, simple combination.",,,Neutral,
D_ROSA_AFTER_OKAY,1,U003,That is the kind of cooking I can imagine fitting into an ordinary week.,,,Neutral,
D_ROSA_AFTER_POOR,0,U003,I can see that the recipe has not come together this time.,,,Disappointed,
D_ROSA_AFTER_POOR,1,U003,Substitution takes some thought. Adding more of one thing does not replace everything else.,,,Disappointed,
D_ROSA_AFTER_FANCY,0,U003,You have given the {servedRecipe} a little extra attention.,,,Pleased,
D_ROSA_AFTER_FANCY,1,U003,"I like that, but I am also interested in what it costs to make at home.",,,Pleased,
D_SAM_INTRO,0,U004,My office lunch plan is usually whatever is closest to my desk. Too often that is soda and a vending machine.,,,Neutral,
D_SAM_INTRO,1,U004,I need another option that does not feel like a whole extra job. Let us start with lunch.,,,Neutral,
D_SAM_AFTER_HIGH,0,U004,That {servedRecipe} was worth stepping away from the desk for.,,,Happy,
D_SAM_AFTER_HIGH,1,U004,I would make time for a lunch like that again.,,,Happy,
D_SAM_AFTER_OKAY,0,U004,Thanks for the {servedRecipe}. It is good to have a straightforward lunch option.,,,Neutral,
D_SAM_AFTER_OKAY,1,U004,Now I can head back without spending the whole break deciding what to eat.,,,Neutral,
D_SAM_AFTER_POOR,0,U004,This looks more like an improvised snack pile than the meal I ordered.,,,Disappointed,
D_SAM_AFTER_POOR,1,U004,I can get that kind of surprise at the office. Please give the recipe another look next time.,,,Disappointed,
D_SAM_AFTER_FANCY,0,U004,The {servedRecipe} made this feel like a proper break.,,,Pleased,
D_SAM_AFTER_FANCY,1,U004,"A treat is nice, but I cannot make an expensive lunch my everyday plan.",,,Pleased,
D_CHEF_OKINAWA_ARRIVAL,0,Visiting Chef,Thank you for inviting me into your kitchen. I would like to share a few plant-based meal ideas inspired by Okinawa.,,,Welcoming,
D_CHEF_OKINAWA_ARRIVAL,1,Visiting Chef,"We can begin with sweet potato, tofu, and greens. These are starting points for your menu, not a claim that one bowl represents an entire place.",,,Welcoming,
D_CHEF_OKINAWA_ARRIVAL,2,Visiting Chef,Let us make room for those ingredients and try the new bowls. Your regulars can explore them at their own pace.,,,Welcoming,
D_DEV_ARRIVAL_BASIC,0,U002,I have been looking at the bean and grain options instead of ordering on autopilot.,,,Neutral,
D_DEV_AFTER_BASIC,0,U002,Thanks for making time for my lunch today.,,,Neutral,
D_ROSA_ARRIVAL_BASIC,0,U003,I have been thinking about the ingredients in your bowls.,,,Neutral,
D_ROSA_AFTER_BASIC,0,U003,Thanks for making time for my lunch today.,,,Neutral,
D_SAM_ARRIVAL_BASIC,0,U004,I actually made time to leave the desk today.,,,Neutral,
D_SAM_AFTER_BASIC,0,U004,Thanks for making time for my lunch today.,,,Neutral,
D_JUNE_ARRIVAL_HLOW_DLOW,0,U001,I am taking things slowly today. I am glad there is somewhere familiar to sit.,,,Cautious,
D_JUNE_ARRIVAL_HLOW_DLOW,1,U001,"I want to trust the menu, but my last visits left me unsure. Please tell me what you are making.",,,Cautious,
D_JUNE_ARRIVAL_HLOW_DMID,0,U001,I am taking things slowly today. I am glad there is somewhere familiar to sit.,,,Neutral,
D_JUNE_ARRIVAL_HLOW_DMID,1,U001,I am still finding my routine here. A straightforward meal would help.,,,Neutral,
D_JUNE_ARRIVAL_HLOW_DHIGH,0,U001,I am taking things slowly today. I am glad there is somewhere familiar to sit.,,,Welcoming,
D_JUNE_ARRIVAL_HLOW_DHIGH,1,U001,I have enjoyed coming here. I am looking forward to what you have planned.,,,Welcoming,
D_JUNE_ARRIVAL_HMID_DLOW,0,U001,It is good to be back. I am getting used to making a plan before I order.,,,Cautious,
D_JUNE_ARRIVAL_HMID_DLOW,1,U001,"I want to trust the menu, but my last visits left me unsure. Please tell me what you are making.",,,Cautious,
D_JUNE_ARRIVAL_HMID_DMID,0,U001,It is good to be back. I am getting used to making a plan before I order.,,,Neutral,
D_JUNE_ARRIVAL_HMID_DMID,1,U001,I am still finding my routine here. A straightforward meal would help.,,,Neutral,
D_JUNE_ARRIVAL_HMID_DHIGH,0,U001,It is good to be back. I am getting used to making a plan before I order.,,,Welcoming,
D_JUNE_ARRIVAL_HMID_DHIGH,1,U001,I have enjoyed coming here. I am looking forward to what you have planned.,,,Welcoming,
D_JUNE_ARRIVAL_HHIGH_DLOW,0,U001,I feel more confident about my choices here now.,,,Cautious,
