id,display_name,recipe_category,daily_dozen_categories,traffic_light,marketing_label,ingredient_list,ingredient_count,storage_type,claim_id,icon_path,approval_status,review_notes
P001,Rolled oats,Grain,WholeGrains,Green,Plain staple,Whole rolled oats,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P002,Canned beans,Beans,Beans,Green,Plain staple,"Black beans, Water",2,Canned,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P003,Frozen vegetables,Vegetable,OtherVegetables,Green,Plain staple,"Carrots, Green beans, Peas",3,Frozen,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P004,Frozen berries,Fruit,Berries,Green,Plain staple,"Blueberries, Raspberries",2,Frozen,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P005,Brown rice,Grain,WholeGrains,Green,Plain staple,Brown rice,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P006,Whole-grain bread,Grain,WholeGrains,Green,Plain staple,"Intact sprouted wheat, Water, Yeast",3,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label. Sprouted intact-grain oil-free bread assumed; refined-flour bread remains a separate Yellow card.
P007,Refined-flour bread,Grain,None,Yellow,Everyday convenience,"Refined wheat flour, Water, Yeast, Salt",4,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P008,Cabbage,Vegetable,CruciferousVegetables,Green,Plain staple,Cabbage,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P009,Sweet potato,StarchyVegetable,OtherVegetables,Green,Plain staple,Sweet potato,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P010,Tofu,Beans,Beans,Green,Plain staple,"Soybeans, Water, Calcium sulfate",3,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
